Scientific name;Family;Svenskt namn;Dyntaxa ID number;Establishment;Red-listed;Red-listed values;Time of immigration;Införd;Index of invasive concern;Risk för Invasiv?;Biodiversity relevance (1-8);Antalet andra organismer som är beroende av, eller använder, arten som födokälla, substrat, skydd eller mutualistisk partner.;Nektar produktion (1-7);Heat requirement;Värmekrav klara som lägst (odlingszoner);Cold requirement;Kylkrav (;Temp. optimum;Continentality;Light;Växtnamn;Växtsätt;kontroll;Växtnamn;Medelhöjd (cm);Maxhöjd (cm);Blomningsstart;Blomningsslut;Phenology;Börjar Blomma;Extreme phenology;Sena;Kontroll;Växtnamn;Blommande?;Blomfärg;Kontroll;Ljus;Moisture;Fukt;Soil reaction (pH);pH;Nitrogen (N);Kväve;Phosphorus (P);Fosfor;Salinity;Salttålighet;Grazing/mowing;Bete/slåtter;Soil disturbance;Mark störning;Longevity;Livslängd;Pollinator dependence;Pollinering;Seed dormancy;Vilande frön;Seed bank;Fröbank;Seed disperser;Nitrogen fixation;Photosynthetic pathway;Mycorrhiza;Carnivory;Parasitism;Plantskolor;;1 Siliceous rock;2 Ultrabasic rock;3 Calcareous rock;4 Dry heath;5. Dry meadow;6 Steppic meadow;7 Sand steppe;8 Moist heath;9 Moist meadow;10 Moist calcareous meadow;11 Raised bog;12 Poor/acidic fen;13 Intermediate-rich fen;14 Rich/calcareous fen;15 Tall herb/sedge/reed meadow;16 Oligotrophic water & shores;17 Mesotrophic water & shores;18 Eutrophic water & shores;19 sandy/stony/rocky sea shores;20 Sea shore meadows;21 Base-poor wasteland;22 Base-rich wasteland;23. Arable land;24 Gravelly ground;25 Ruderal;26 Hedgerows, thickets, wood-margins and groves;27 Heath-type deciduous forest;28 Intermediate deciduous forest;29 Herb-rich deciduous forest;30 Alnus glutinosa swamp;31 Fraxinus/Ulmus/Alnus incana swamp;32 Pinus/Betula swamp;33 Picea swamp;34 Heath-type coniferous forest;35 Vaccinium-type coniferous forest;36 Herb-rich coniferous forest;37 Cacareous conifer forest;38 Subalpine Betula forest
Atriplex glabriuscula Edmondston;Amaranthaceae;broskmålla;220655;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;2;11;11. zon 3;6;;7;3;7;Atriplex glabriuscula Edmondston;Ört;SANT;Atriplex glabriuscula Edmondston;10;30;Juni;Augusti;12;12. B Aug;5;21-aug.;SANT;Atriplex glabriuscula Edmondston;Ja;Grön;SANT;7. alltid full sol;8;8. våt;8;8. alkalisk (pH > 7.5);9;9. mestadels på konstgjort kväveberikade jordar;5;5. begränsad till jordar med hög fosfortillgång;5;konkurrenskraftig endast under hög salthalt;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat;8;8. inte konkurrenskraftig i sluten vegetation, kräver markstörning minst vartannat år;1;strikt ettårig;0b;vindpollinerad eller vattenpollinerad (främst eller endast);4;med mellanliggande eller djup fysiologisk eller morfofysiologisk viloläge, gror endast efter minst en period av > 35 dagar med kallstratifiering; ;Ingen data;Passive;Nej;C4;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex vacillans Drejer;Cyperaceae;saltstarr;271;Resident;NT;1;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;1;8;8. zon 6;8;;10;3;7;Carex vacillans Drejer;Gräs/halvgräs;SANT;Carex vacillans Drejer;10;30;Juni;Augusti; ;Ingen data; ;Ingen data;SANT;Carex vacillans Drejer;Ja;Grön;SANT;7. alltid full sol;9;9. våt – tillfälligt översvämmad;7;7. circumneutral (pH 6.5–7.5); ;Ingen data;3;3. trivs med genomsnittlig fosfortillgång;5;konkurrenskraftig endast under hög salthalt;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat; ;Ingen data;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data; ;Ingen data;Water;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Halimione pedunculata;Amaranthaceae;saltmålla;753;Resident;Vu;2;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;2;12;12. zon 2;5;;6;4;7;Halimione pedunculata;Ört;SANT;Halimione pedunculata;10;30;Juli;September;10;10. B Jul;3;22-juli;SANT;Halimione pedunculata;Ja;Grön;SANT;7. alltid full sol;9;9. våt – tillfälligt översvämmad;8;8. alkalisk (pH > 7.5);8;8. begränsad till naturligt mycket kväverika jordar;5;5. begränsad till jordar med hög fosfortillgång;5;konkurrenskraftig endast under hög salthalt;6;6. starkt gynnad av regelbunden betning/slåtter, men tål några år utan hantering;7;7. förökar sig endast i störd/naken jord, kan bestå några år men försvinner gradvis när vegetationen sluter sig;1;strikt ettårig;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data; ;Ingen data;Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Halimione portulacoides;Amaranthaceae;portlakmålla;754;Resident;CR;4;0;0. Inhemsk;0;1. Ingen risk;5;5. 51-100;2;12;12. zon 2;2;;3;3;7;Halimione portulacoides;Ört;SANT;Halimione portulacoides;20;80;Juli;Augusti; ;Ingen data; ;Ingen data;SANT;Halimione portulacoides;Ja;Grön;SANT;7. alltid full sol;9;9. våt – tillfälligt översvämmad;7;7. circumneutral (pH 6.5–7.5);8;8. begränsad till naturligt mycket kväverika jordar;5;5. begränsad till jordar med hög fosfortillgång;5;konkurrenskraftig endast under hög salthalt;4;4. trivs i både betade/slungna och ohanterade habitat;5;5. kräver markstörning för förökning, men etablerade individer kan bestå länge (årtionden–århundraden) i ostörd vegetation;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data; ;Ingen data;Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Limonium humile Mill.;Plumbaginaceae;bohusmarrisp;220551;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;4;12;12. zon 2;5;;6;2;7;Limonium humile Mill.;Ört;SANT;Limonium humile Mill.;20;50;Juni;Augusti;12;12. B Aug;5;21-aug.;SANT;Limonium humile Mill.;Ja;Rosa;SANT;7. alltid full sol;10;10. tillfälligt översvämmad;8;8. alkalisk (pH > 7.5);5;5. måttligt kväverik;4;4. gynnas av hög fosfortillgång;5;konkurrenskraftig endast under hög salthalt;4;4. trivs i både betade/slungna och ohanterade habitat; ;Ingen data;4;långlivad perenn;0d;apomixis (främst eller endast); ;Ingen data; ;Ingen data;;Nej;C3;AM;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Limonium vulgare Mill.;Plumbaginaceae;marrisp;978;Resident;VU;2;0;0. Inhemsk;0;1. Ingen risk;3;3. 13-24;4;12;12. zon 2;4;;5;3;7;Limonium vulgare Mill.;Ört;SANT;Limonium vulgare Mill.;10;50;Juli;Augusti;12;12. B Aug;5;21-aug.;SANT;Limonium vulgare Mill.;Ja;Rosa;SANT;7. alltid full sol;10;10. tillfälligt översvämmad;8;8. alkalisk (pH > 7.5);5;5. måttligt kväverik;4;4. gynnas av hög fosfortillgång;5;konkurrenskraftig endast under hög salthalt;4;4. trivs i både betade/slungna och ohanterade habitat; ;Ingen data;4;långlivad perenn;0d;apomixis (främst eller endast); ;Ingen data;3;långlivad (5–25 år);;Nej;C3;AM;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mertensia maritima (L.) Gray;Boraginaceae;ostronört;1039;Resident;CR;4;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;5;7;7. zon 7;8;;10;1;7;Mertensia maritima (L.) Gray;Ört;SANT;Mertensia maritima (L.) Gray;10;30;Juni;Augusti; ;Ingen data; ;Ingen data;SANT;Mertensia maritima (L.) Gray;Ja;Blå;SANT;7. alltid full sol;6;6. fuktig;7;7. circumneutral (pH 6.5–7.5);6;6. måttligt–mycket kväverik;3;3. trivs med genomsnittlig fosfortillgång;5;konkurrenskraftig endast under hög salthalt;2;2. tål sporadisk betning/slåtter men inte regelbunden/upprepad;5;5. kräver markstörning för förökning, men etablerade individer kan bestå länge (årtionden–århundraden) i ostörd vegetation;4;långlivad perenn; ;ingen data;3;med morfologisk, fysikalisk eller mekanisk viloläge, eller med mellanliggande fysiologisk viloläge som resulterar i mycket långsam groning men oberoende av temperatur och säsong (eller kräver <35 dagar av kallstratifiering); ;Ingen data;Passive;Nej;;AM;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Puccinellia maritima (Huds.) Parl.;Poaceae;revigt saltgräs;222648;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;2;2. 6-12;1;8;8. zon 6;3;;6;4;7;Puccinellia maritima (Huds.) Parl.;Gräs/halvgräs;SANT;Puccinellia maritima (Huds.) Parl.;20;60;Juni;Augusti;8;8. B Jun;1;22-juni;SANT;Puccinellia maritima (Huds.) Parl.;Ja;Grön;SANT;7. alltid full sol;9;9. våt – tillfälligt översvämmad;8;8. alkalisk (pH > 7.5);6;6. måttligt–mycket kväverik;4;4. gynnas av hög fosfortillgång;5;konkurrenskraftig endast under hög salthalt;4;4. trivs i både betade/slungna och ohanterade habitat; ;Ingen data;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data;2;kortvarig (1–5 år);Passive;Nej;C3;AM;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salicornia procumbens Sm.;Amaranthaceae;styv glasört;6003003;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;2;2. 6-12;1;11;11. zon 3;2;;4;4;7;Salicornia procumbens Sm.;Ört;SANT;Salicornia procumbens Sm.;10;50;Juli;September; ;Ingen data; ;Ingen data;SANT;Salicornia procumbens Sm.;Ja;Grön;SANT;7. alltid full sol;10;10. tillfälligt översvämmad;8;8. alkalisk (pH > 7.5);4;4. måttligt kvävefattig – måttligt kväverik;4;4. gynnas av hög fosfortillgång;5;konkurrenskraftig endast under hög salthalt;4;4. trivs i både betade/slungna och ohanterade habitat; ;Ingen data;1;strikt ettårig;0c;självbefruktning (främst eller endast); ;Ingen data;2;kortvarig (1–5 år);Water;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spergularia media (L.) C. Presl;Caryophyllaceae;havsnarv;220947;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;3;3. 13-24;3;12;12. zon 2;1;;2;3;7;Spergularia media (L.) C. Presl;Ört;SANT;Spergularia media (L.) C. Presl;10;30;Juli;Augusti;8;8. B Jun;1;22-juni;SANT;Spergularia media (L.) C. Presl;Ja;Vit;SANT;7. alltid full sol;6;6. fuktig;8;8. alkalisk (pH > 7.5);6;6. måttligt–mycket kväverik;4;4. gynnas av hög fosfortillgång;5;konkurrenskraftig endast under hög salthalt;4;4. trivs i både betade/slungna och ohanterade habitat;6;6. förökar sig endast i störd/naken jord, kan bestå i årtionden men försvinner gradvis när vegetationen sluter sig;3;kortlivad perenn (ofta hapaxantisk men kan ibland blomma ytterligare år);1;pollinering underlättas av insekter, utöver självbefruktning (dvs. självinfertil) och/eller pollinering av abiotiska faktorer;3;med morfologisk, fysikalisk eller mekanisk viloläge, eller med mellanliggande fysiologisk viloläge som resulterar i mycket långsam groning men oberoende av temperatur och säsong (eller kräver <35 dagar av kallstratifiering);3;långlivad (5–25 år);Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
